id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu
35994,30,6,99761,5,11,3,11,1,0,0,40
35995,28,9,202206,3,9,2,9,2,0,0,50
35996,34,8,199934,5,10,2,11,2,0,0,40
35997,51,9,373448,5,10,2,14,2,0,28028000,40
35998,20,1,144685,5,10,1,1,1,0,22428000,40
35999,51,9,137815,5,10,2,11,2,102172000,0,40
36000,17,9,165918,3,7,1,3,2,0,0,20
36001,63,9,183608,3,6,2,14,2,0,0,40
36002,60,4,153356,3,9,3,6,2,36358000,0,55
36003,30,4,176185,4,12,2,6,2,0,0,60
36004,26,9,223464,5,10,2,11,2,0,0,40
36005,25,1,202480,4,12,1,1,2,0,0,45
36006,46,9,186539,3,9,3,8,2,0,0,48
36007,40,9,121718,5,13,3,14,2,0,0,55
36008,19,9,62419,3,9,2,8,2,0,0,35
36009,55,4,26683,3,9,2,12,2,0,0,60
36010,41,9,70645,6,14,3,13,1,65100000,0,55
36011,29,9,354558,3,9,2,6,2,0,0,60
36012,17,9,152710,3,7,1,7,1,0,0,20
36013,27,9,119793,5,10,2,8,2,0,0,55
36014,53,9,34973,3,7,2,6,2,0,0,40
36015,36,4,37778,6,14,2,12,2,0,0,70
36016,42,9,208875,5,10,2,14,1,0,0,40
36017,42,9,220531,5,10,2,8,2,0,0,32
36018,56,5,119891,5,10,2,14,2,0,23408000,40
36019,42,7,55764,4,12,3,13,2,0,0,40
36020,55,1,421228,6,14,2,1,1,0,0,40
36021,33,9,70240,5,10,1,7,1,0,0,40
36022,32,9,49593,3,9,1,11,1,0,0,40
36023,37,9,33440,3,9,3,7,1,0,0,40
36024,21,9,221418,3,9,1,7,1,0,0,40
36025,63,9,28334,6,14,3,14,1,0,0,40
36026,32,9,198660,5,10,2,8,2,0,0,40
36027,30,9,378009,6,14,2,14,2,0,0,50
36028,53,1,64322,2,4,3,1,2,0,0,40
36029,46,9,121168,3,9,3,8,1,0,0,40
36030,57,6,199546,6,14,3,7,1,0,0,40
36031,66,9,216856,6,14,2,6,2,0,0,50
36032,28,7,106721,6,14,2,13,2,0,0,40
36033,42,4,320744,3,9,2,6,2,54712000,0,45
36034,36,9,210945,5,13,2,13,2,0,0,40
36035,43,9,557349,3,6,2,5,2,0,0,40
36036,33,6,352277,5,10,2,11,2,43442000,0,45
36037,50,9,160400,3,9,3,6,1,0,0,40
36038,29,7,67053,3,9,1,7,2,0,0,40
36039,49,9,163229,3,9,3,8,2,0,0,50
36040,32,9,167063,5,13,2,10,2,0,0,40
36041,51,4,24790,5,10,2,14,2,0,0,99
36042,67,1,105252,5,10,2,1,2,0,0,20
36043,35,9,115792,5,13,2,13,2,0,0,55
36044,55,9,139834,5,13,2,13,2,0,0,40
36045,38,9,300975,6,14,2,7,2,0,20790000,40
36046,47,8,326048,3,9,2,8,2,0,0,40
36047,39,8,410034,3,9,2,11,2,0,0,40
36048,31,9,166343,3,9,1,9,2,0,0,50
36049,28,7,288731,5,13,2,13,2,0,0,20
36050,36,9,214807,3,9,3,7,1,0,0,40
36051,33,9,184306,5,13,2,13,2,0,0,45
36052,55,9,160303,3,9,3,11,1,0,0,40
36053,24,9,52028,1,2,2,7,1,0,0,5
36054,19,9,37085,5,10,1,11,1,0,0,20
36055,41,4,167081,6,14,2,13,2,0,33810000,55
36056,29,9,231148,5,13,2,13,2,0,0,50
36057,22,1,211968,5,10,1,1,1,0,0,40
36058,57,5,172654,4,15,2,5,2,210336000,0,50
36059,38,9,160086,5,13,1,13,1,0,0,32
36060,29,9,247867,5,13,2,13,2,0,0,40
36061,26,9,97698,6,14,1,14,2,0,0,32
36062,67,9,283416,6,14,1,13,2,0,0,40
36063,31,9,191932,6,14,1,14,1,0,31612000,40
36064,52,9,95704,2,5,2,3,2,0,0,40
36065,52,8,23780,5,10,3,11,2,0,0,40
36066,37,9,95336,3,6,1,9,2,0,0,65
36067,57,9,201159,4,12,3,11,1,0,0,40
36068,39,5,336226,3,9,2,14,2,43442000,0,60
36069,78,4,152148,2,4,2,5,2,0,0,20
36070,53,4,118793,3,6,2,8,2,0,0,50
36071,50,9,154153,3,6,2,9,2,0,0,50
36072,19,9,311974,3,9,1,9,2,0,0,40
36073,31,9,110643,5,13,2,14,2,0,27678000,55
36074,43,9,206139,5,13,2,13,2,0,0,50
36075,56,9,178787,3,9,2,3,2,0,0,40
36076,43,8,269733,6,14,2,14,2,0,0,40
36077,34,8,112115,5,10,1,8,2,0,0,40
36078,42,9,482211,3,9,1,8,2,0,0,40
36079,21,7,132247,5,10,1,13,1,0,0,35
36080,39,9,153997,3,9,2,7,1,0,26628000,40
36081,61,7,130466,3,9,3,11,1,0,0,40
36082,48,9,212954,5,10,2,8,2,0,0,60
36083,35,9,151322,5,13,2,14,2,210336000,0,55
36084,32,9,370160,5,10,3,14,1,0,0,40
36085,31,4,186420,6,14,3,10,1,0,0,25
36086,59,7,261584,5,13,1,14,1,0,0,40
36087,51,4,94432,3,9,2,12,2,0,0,55
36088,60,1,116746,3,6,2,1,2,0,0,40
36089,58,9,175017,3,7,2,11,2,0,23408000,40
36090,18,9,187722,5,10,1,7,1,0,0,20
36091,34,9,609789,3,9,2,7,2,0,0,30
36092,46,9,273771,5,13,2,6,2,1399986000,0,40
36093,33,9,69251,5,11,1,6,2,0,0,40
36094,39,7,65390,5,10,2,11,2,0,0,40
36095,25,9,236564,3,9,1,11,2,0,0,40
36096,39,5,91039,6,14,2,14,2,210336000,0,45
36097,25,9,315130,5,13,1,10,1,0,0,10
36098,23,9,111450,3,8,1,7,2,0,0,38
36099,40,9,229148,3,8,2,5,2,0,0,40
36100,31,8,59732,3,9,2,12,2,0,0,40
36101,26,9,172421,5,10,2,6,2,0,0,40
36102,50,9,143353,3,9,3,2,1,0,0,12
36103,21,9,766115,3,6,2,3,2,0,0,35
36104,50,9,157043,3,7,3,7,1,0,0,40
36105,23,9,308498,3,6,1,8,2,0,0,18
36106,41,9,242619,4,12,3,13,2,0,0,80
36107,39,9,192702,6,14,1,8,1,0,0,50
36108,36,9,165799,6,14,2,6,2,0,0,50
36109,20,9,215232,5,10,1,14,1,0,0,10
36110,34,9,128016,6,14,3,14,1,30828000,0,40
36111,43,6,36924,6,14,2,13,2,0,0,40
36112,37,9,506830,5,13,1,11,1,0,0,40
36113,17,9,216086,3,7,1,7,1,0,0,30
36114,39,9,242922,3,9,2,8,2,0,0,40
36115,24,1,165350,3,9,3,1,2,0,0,50
36116,39,9,505119,6,14,2,14,2,0,0,40
36117,49,9,157569,3,9,2,8,2,0,0,40
36118,21,1,356772,3,9,1,1,1,0,0,40
36119,37,9,212512,3,9,2,9,2,48496000,0,50
36120,28,9,102142,5,10,1,10,2,0,0,40
36121,31,9,159322,3,9,1,3,2,0,0,40
36122,22,4,210165,5,10,1,8,2,0,0,40
36123,43,9,355728,3,9,3,9,2,0,0,40
36124,34,4,289731,3,7,2,9,2,0,0,40
36125,58,9,234328,5,13,3,6,2,0,0,40
36126,41,9,304605,3,9,2,8,2,0,0,40
36127,56,8,208791,5,13,2,14,2,0,0,50
36128,69,9,197080,3,8,2,5,2,131404000,0,60
36129,17,9,25690,3,6,1,7,1,0,0,10
36130,41,9,266047,5,13,2,8,2,0,0,40
36131,33,9,142675,5,13,1,3,2,0,0,30
36132,20,9,184678,3,9,1,6,1,0,0,32
36133,62,9,216765,5,13,2,13,2,0,0,40
