id,Umur,Kelas Pekerjaan 2,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,Gaji
0,21,9,242912,3,9,1,7,1,0,0,35,0
1,49,9,140782,3,6,3,14,1,0,0,40,0
2,44,9,120057,4,12,2,14,2,61404000,0,45,1
3,24,9,194630,5,13,1,13,2,0,0,35,0
4,33,9,219619,6,14,2,13,2,210336000,0,40,1
5,31,9,331065,5,13,1,14,1,0,19712000,40,0
6,32,9,111520,5,10,1,7,2,0,0,34,0
7,20,9,115057,3,9,1,8,2,0,0,40,0
8,23,1,191910,5,10,1,1,2,0,0,40,0
9,43,9,134120,3,9,3,6,1,0,0,46,0
10,31,9,288825,3,9,2,3,2,70182000,0,40,0
11,28,6,304960,4,12,1,11,1,0,27720000,40,0
12,45,9,320192,1,2,2,7,1,0,0,40,0
13,44,6,100479,4,12,2,13,2,0,0,48,0
14,52,5,168539,5,13,1,14,2,0,0,40,0
15,27,9,409246,3,9,2,12,2,0,0,40,1
16,26,9,44308,5,13,1,10,2,0,0,40,0
17,56,9,204254,3,6,3,7,1,0,0,45,0
18,59,9,359292,1,2,2,9,2,0,0,40,0
19,41,9,109762,3,9,3,5,2,0,0,45,0
20,51,9,161482,3,9,3,7,1,0,0,38,0
21,68,9,144056,3,9,2,11,2,53452000,0,40,0
22,64,9,151364,5,10,1,11,1,0,0,40,0
23,21,9,25265,5,10,1,7,2,0,0,18,0
24,37,7,191841,5,13,1,11,1,120596000,0,40,1
25,67,9,154035,3,9,3,3,2,0,0,32,0
26,34,9,421200,3,9,2,8,2,0,0,40,0
27,42,1,148951,5,13,3,1,1,0,0,12,0
28,44,4,70884,3,9,2,12,2,0,0,60,0
29,24,9,131220,3,9,1,11,1,0,0,40,0
30,25,9,307643,4,12,2,8,2,43442000,0,45,1
31,24,9,195808,5,10,1,9,2,0,0,40,0
32,50,9,237258,6,14,1,14,2,389592000,0,48,1
33,32,9,149368,5,13,2,13,2,0,0,40,1
34,23,9,215115,5,13,1,11,1,0,0,40,0
35,29,9,148431,4,12,2,6,1,107632000,0,45,1
36,40,9,155767,3,9,3,9,2,0,0,40,0
37,34,9,80058,4,15,1,14,2,0,0,50,0
38,44,9,219288,2,4,2,8,2,0,0,35,0
39,59,9,182460,5,13,2,14,2,0,0,60,1
40,33,9,373662,1,2,2,2,1,0,0,40,0
41,35,9,186009,3,9,2,8,2,0,0,40,1
42,22,9,290044,5,13,1,7,1,0,0,35,0
43,40,9,374764,5,10,3,3,2,0,0,40,0
44,25,9,197303,5,13,1,13,1,0,0,40,0
45,19,9,25429,5,10,1,6,1,0,0,25,0
46,19,7,159269,5,10,1,11,2,0,0,15,0
47,31,9,243165,5,13,1,13,2,0,0,40,0
48,24,9,220426,3,9,1,3,2,0,0,40,0
49,44,9,184871,6,14,2,13,2,0,0,40,0
50,42,8,108183,6,14,2,13,2,0,26628000,40,1
51,33,9,179509,5,13,2,3,2,0,0,40,0
52,47,4,102359,5,13,2,14,2,0,0,30,0
53,66,4,427422,7,16,2,6,2,0,33278000,25,1
54,43,9,151809,3,9,2,5,2,0,0,30,0
55,37,9,208391,5,10,2,5,2,0,0,40,1
56,81,4,218521,2,4,2,12,2,0,0,21,0
57,29,9,194640,3,9,1,8,2,0,0,40,0
58,27,9,198197,5,13,1,10,2,0,0,45,0
59,25,7,180884,5,10,2,11,1,0,0,40,0
60,35,4,210830,3,9,1,7,1,0,0,40,0
61,51,9,147954,3,9,2,11,1,47754000,0,38,0
62,36,8,192150,3,9,3,11,1,0,0,40,0
63,32,9,347112,5,13,1,14,1,0,0,45,0
64,55,9,101480,3,9,2,7,1,0,0,33,0
65,46,9,215943,3,9,3,13,1,0,0,40,0
66,49,9,209057,5,10,3,10,2,0,0,40,0
67,29,9,118230,3,9,1,6,1,0,0,35,0
68,68,9,45508,1,3,2,6,2,0,0,22,0
69,58,9,127264,3,6,2,8,2,0,0,50,0
